"userid","data_to_parse"
"54f4c56b159a1","""value"":""N;U;A7;W""}]"
"54f4d6dc374cb","""value"":""N;U;A4;W""}]"
"54f36e8dc7429","""value"":""Y;U;A1;W""}]"
"54f34d6b32a69","""value"":""N;U;A4;W""}]"
"54f56c82c6110","""value"":""N;U;I6;W""}]"
"54f4801643b4f","""value"":""Y;U;A7;W""}]"
"54f5e6edd6123","""value"":""N;U;I2;L""}]"
"54f5064548f25","""value"":""N;U;A7;W""}]"
"54f49bbe5bd9d","""value"":""N;C;A7;L""}]"
"54f3f71a522e1","""value"":""N;U;I2;W""}]"
"54f48bf2c1e74","""value"":""N;U;A7;W""}]"
"54f54943b36b1","""value"":""N;C;I2;L""}]"
"54f623486ccba","""value"":""N;U;I2;W""}]"
"54f68adbbd32e","""value"":""N;U;U;W""}]"
"54f4d0eed1279","""value"":""N;U;U;W""}]"
"54f4e7bfd3a67","""value"":""N;C;A3;L""}]"
"54f68a79830f4","""value"":""N;U;A7;W""}]"
"54f47b8d4d301","""value"":""N;U;A7;W""}]"
"54f60395a247e","""value"":""N;U;A2;W""}]"
"54f3bf7a4b54f","""value"":""N;U;A2;W""}]"
"54f49c28caf0f","""value"":""N;U;A7;W""}]"
"54f5e750981a0","""value"":""N;U;A7;W""}]"
"54f5247b33e8f","""value"":""N;U;A7;W""}]"
"54f6202a8d4f5","""value"":""N;C;A3;L""}]"
"54f67b23121a5","""value"":""N;U;A6;W""}]"
"54f543fee1764","""value"":""N;U;A1;L""}]"
"54f394eb8fc0c","""value"":""Y;U;A1;W""}]"
"54f51b4357993","""value"":""N;C;A7;L""}]"
"54f48e6a3d75c","""value"":""N;C;A7;L""}]"
"54f38d1650d39","""value"":""N;C;A6;L""}]"
"54f644eda35a0","""value"":""Y;U;A7;W""}]"
"54f41981c10b7","""value"":""Y;U;A5;W""}]"
"54f69dda95167","""value"":""Y;U;A4;W""}]"
"54f668a7a6c61","""value"":""N;U;A7;W""}]"
"54f47f1f1ba67","""value"":""N;U;A7;W""}]"
"54f3ede08959e","""value"":""N;U;A7;W""}]"
"54f5bab4597cf","""value"":""N;U;A5;W""}]"
"54f46690ea3aa","""value"":""N;U;A7;W""}]"
"54f539581a1ec","""value"":""N;U;I5;W""}]"
"54f3d4d02672f","""value"":""N;U;A7;W""}]"
"54f47de1376b8","""value"":""N;U;I4;W""}]"
"54f2d7f39152d","""value"":""N;U;A4;W""}]"
"54f3c747b7de3","""value"":""N;U;A7;W""}]"
"54f364d6dcb80","""value"":""N;U;A1;W""}]"
"54f676c72466b","""value"":""Y;U;A2;W""}]"
"54f3dd959fce3","""value"":""N;U;A7;W""}]"
"54f3af4d86f6c","""value"":""N;U;I5;W""}]"
"54f3509da612e","""value"":""N;U;A7;W""}]"
"54f49ae90dd57","""value"":""N;U;A7;W""}]"
"54f4d06a56a95","""value"":""N;U;I5;W""}]"
"54f548b598d60","""value"":""N;U;A7;W""}]"
